id;description;title;device_id
7930;512;Объем SSD (Гб):;1151
7931;Китай;Страна-производитель:;1151
7932;Intel Core i7;Тип процессора:;1152
7933;NVIDIA GeForce RTX 3060Ti;Видеокарта:;1152
7934;16384;Объем оперативной памяти (Мб):;1152
7935;DDR4;Тип оперативной памяти:;1152
7936;Windows 10 Home;Операционная система:;1152
7937;ПК;Тип:;1152
7938;512;Объем SSD (Гб):;1152
7939;Польша;Страна-производитель:;1152
7940;Intel Core i3;Тип процессора:;1153
7941;Intel UHD Graphics 630;Видеокарта:;1153
7942;8192;Объем оперативной памяти (Мб):;1153
7943;DDR4;Тип оперативной памяти:;1153
7944;Windows 10 Professional;Операционная система:;1153
7945;ПК;Тип:;1153
7946;256;Объем SSD (Гб):;1153
7947;Китай;Страна-производитель:;1153
7948;Intel Core i5;Тип процессора:;1154
7949;Intel UHD Graphics 630;Видеокарта:;1154
7950;8192;Объем оперативной памяти (Мб):;1154
7951;DDR4;Тип оперативной памяти:;1154
